Part #,Width,Height,Max Length,Thickness
1,144,161,160.131,143.0
2,140,126,140.911,130.92
3,304,325,329.826,302.0
4,227,225,227.482,224.758
5,92,96,98.494,79.0
6,184,190,188.86,183.0
7,216,214,223.573,201.943
8,123,127,126.321,120.0
9,110,89,115.884,84.119
10,78,134,135.366,77.0
11,128,92,134.134,87.316
12,118,128,128.16,117.0
13,186,152,185.691,151.463
14,108,117,116.211,107.0
15,145,148,160.963,119.0
16,87,87,87.321,83.738
17,74,78,78.518,72.863
18,141,137,142.239,134.648
